"_id",Single-player,Multi-player,Valve Anti-Cheat enabled,Steam Achievements,Steam Trading Cards,Captions available,Partial Controller Support,Steam Cloud,Includes Source SDK,Commentary available,Cross-Platform Multiplayer,Stats,Co-op,Steam Workshop,Includes level editor,Full controller support,Steam Leaderboards,Online Multi-Player,Online Co-op,Shared/Split Screen,Local Multi-Player,Local Co-op,Mods,MMO,In-App Purchases,VR Support,Downloadable Content,Native Steam Controller Support,Steam Turn Notifications,Game demo,SteamVR Collectibles,Mods (require HL2)
1310,2834,1582,819,2688,2151,653,458,1543,0,356,501,363,1266,1924,1062,1019,515,302,98,0,204,0,0,6,247,0,0,0,0,0,0,0
665,331,536,212,319,193,6,100,32,0,6,150,93,105,219,31,293,0,25,0,0,25,0,0,125,311,0,0,0,0,0,0,0
1311,2765,2968,42,2428,3022,42,1954,2685,0,0,1697,42,594,96,42,42,42,299,257,0,0,0,0,0,2333,0,0,0,0,0,0,0
1312,33,0,0,33,33,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,18,0,18,0,0,0,0,0,0,0,0,18,0,0,18,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
1313,1457,290,200,1457,1214,200,464,569,200,200,0,200,290,824,0,512,0,0,0,90,0,0,0,0,538,0,0,0,0,0,0,0
1314,362,339,0,29,362,0,333,29,0,0,0,0,333,29,0,0,0,6,0,0,0,0,0,0,339,0,0,0,0,0,0,0
1315,116,0,0,116,92,0,0,116,0,0,0,0,0,0,0,92,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1316,2407,2331,715,1821,2339,129,433,1145,129,129,270,320,2400,944,617,1587,132,573,744,132,132,132,0,26,1008,19,0,0,0,0,0,0
5,130,130,0,130,130,0,0,130,0,0,130,130,130,130,0,130,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0
483,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
441,49705,49705,49705,49705,0,0,0,49705,0,0,0,0,49705,49705,49705,49705,0,0,0,0,0,0,0,49705,0,49705,0,0,0,0,0,0
817,5872,5459,578,6242,3837,152,58,3951,152,152,2640,785,3188,605,57,6192,303,2760,2760,3437,2697,2697,0,0,378,0,0,0,0,0,0,0
